sale_id,date,vehicle_type,state,industry,unit_price,units_sold,revenue
45,2022-02-18,Medium Duty Truck,VIC,Mining,381077.0,2,762154
46,2022-02-19,Heavy Duty Truck,NT,Mining,225450.0,1,225450
47,2022-02-20,Medium Duty Truck,NSW,Mining,130583.0,2,261166
48,2022-02-21,Bus,NSW,Mining,464226.0,5,2321130
49,2022-02-22,Medium Duty Truck,VIC,Logistics,437515.0,3,1312545
50,2022-02-23,Construction Equipment,NSW,Agriculture,250105.0,3,750315
51,2022-02-24,Construction Equipment,VIC,Construction,201032.0,2,402064
52,2022-02-25,Construction Equipment,QLD,Logistics,296940.0,5,1484700
53,2022-02-26,Construction Equipment,VIC,Logistics,394748.0,3,1184244
54,2022-02-28,Bus,VIC,Construction,447218.0,5,2236090
55,2022-03-01,Light Commercial,WA,Construction,316727.0,5,1583635
56,2022-03-02,Heavy Duty Truck,VIC,Mining,163869.0,2,327738
57,2022-03-03,Construction Equipment,VIC,Logistics,357554.0,1,357554
58,2022-03-04,Medium Duty Truck,NT,Government,435519.0,2,871038
59,2022-03-05,Construction Equipment,QLD,Construction,277116.0,1,277116
60,2022-03-06,Medium Duty Truck,WA,Construction,284387.0,5,1421935
61,2022-03-07,Medium Duty Truck,NT,Agriculture,448199.0,1,448199
62,2022-03-08,Construction Equipment,SA,Government,292416.0,5,1462080
63,2022-03-09,Bus,QLD,Government,490012.0,3,1470036
64,2022-03-11,Medium Duty Truck,QLD,Construction,176716.0,3,530148
65,2022-03-12,Medium Duty Truck,SA,Mining,144245.0,3,432735
66,2022-03-13,Construction Equipment,VIC,Agriculture,133056.0,2,266112
67,2022-03-14,Medium Duty Truck,NT,Government,340736.0,2,681472
68,2022-03-15,Medium Duty Truck,NSW,Construction,410701.0,5,2053505
69,2022-03-16,Construction Equipment,WA,Government,369687.0,3,1109061
70,2022-03-17,Construction Equipment,NSW,Agriculture,315683.0,2,631366
71,2022-03-18,Heavy Duty Truck,SA,Agriculture,448182.0,3,1344546
72,2022-03-19,Bus,QLD,Logistics,499940.0,2,999880
73,2022-03-20,Bus,QLD,Construction,355972.0,1,355972
74,2022-03-22,Medium Duty Truck,WA,Agriculture,206656.0,1,206656
75,2022-03-23,Bus,QLD,Logistics,107087.0,3,321261
76,2022-03-24,Medium Duty Truck,QLD,Logistics,495821.0,5,2479105
77,2022-03-25,Heavy Duty Truck,WA,Government,383481.0,2,766962
78,2022-03-26,Construction Equipment,NT,Government,226554.0,2,453108
79,2022-03-27,Construction Equipment,NT,Logistics,417477.0,1,417477
80,2022-03-28,Construction Equipment,WA,Government,272024.0,1,272024
81,2022-03-29,Bus,SA,Agriculture,226535.0,5,1132675
82,2022-03-30,Heavy Duty Truck,QLD,Mining,333236.0,5,1666180
83,2022-03-31,Bus,QLD,Agriculture,160448.0,5,802240
84,2022-04-01,Bus,SA,Logistics,94648.0,3,283944
85,2022-04-03,Heavy Duty Truck,NT,Logistics,482720.0,1,482720
86,2022-04-04,Heavy Duty Truck,VIC,Agriculture,385767.0,3,1157301
87,2022-04-05,Heavy Duty Truck,VIC,Government,125634.0,1,125634
88,2022-04-06,Heavy Duty Truck,VIC,Government,466742.0,1,466742
89,2022-04-07,Construction Equipment,NT,Logistics,401478.0,2,802956
90,2022-04-08,Light Commercial,NT,Construction,420792.0,1,420792
91,2022-04-09,Light Commercial,SA,,112054.0,1,112054
92,2022-04-10,Heavy Duty Truck,QLD,Agriculture,160028.0,3,480084
93,2022-04-11,Light Commercial,SA,Government,112207.0,1,112207
94,2022-04-12,Light Commercial,SA,Agriculture,320893.0,3,962679
95,2022-04-14,Heavy Duty Truck,NT,Logistics,171554.0,5,857770
96,2022-04-15,Light Commercial,VIC,Government,242458.0,1,242458
97,2022-04-16,Bus,NSW,Agriculture,173276.0,1,173276
98,2022-04-17,Medium Duty Truck,QLD,Logistics,404925.0,3,1214775
99,2022-04-18,Medium Duty Truck,NT,Construction,273852.0,5,1369260
100,2022-04-19,Heavy Duty Truck,VIC,Agriculture,282512.0,2,565024
101,2022-04-20,Construction Equipment,NSW,Construction,413179.0,5,2065895
102,2022-04-21,Heavy Duty Truck,NSW,Construction,98210.0,3,294630
103,2022-04-22,Construction Equipment,NT,Mining,134363.0,5,671815
104,2022-04-23,Medium Duty Truck,WA,Government,332247.0,3,996741
105,2022-04-24,Heavy Duty Truck,QLD,Agriculture,168279.0,3,504837
106,2022-04-26,Bus,NSW,Construction,281420.0,2,562840
107,2022-04-27,Light Commercial,NT,Mining,276356.0,1,276356
108,2022-04-28,Construction Equipment,NT,Logistics,293196.0,3,879588
109,2022-04-29,Light Commercial,VIC,Agriculture,289919.0,3,869757
110,2022-04-30,Light Commercial,WA,Construction,347324.0,2,694648
111,2022-05-01,Heavy Duty Truck,QLD,Government,285161.0,3,855483
112,2022-05-02,Light Commercial,SA,Mining,320363.0,1,320363
113,2022-05-03,Bus,VIC,Construction,224393.0,2,448786
114,2022-05-04,Light Commercial,NSW,Government,,1,433492
115,2022-05-05,Heavy Duty Truck,NSW,Construction,465960.0,1,465960
116,2022-05-07,Bus,VIC,Agriculture,299754.0,2,599508
117,2022-05-08,Medium Duty Truck,NT,Agriculture,213053.0,3,639159
118,2022-05-09,Light Commercial,NSW,Agriculture,273965.0,1,273965
119,2022-05-10,Heavy Duty Truck,WA,Mining,256892.0,1,256892
120,2022-05-11,Medium Duty Truck,QLD,Agriculture,418406.0,1,418406
121,2022-05-12,Medium Duty Truck,WA,Government,224832.0,1,224832
122,2022-05-13,Construction Equipment,NSW,Construction,243262.0,2,486524
123,2022-05-14,Bus,SA,Logistics,157411.0,2,314822
124,2022-05-15,Light Commercial,QLD,Government,375521.0,5,1877605
125,2022-05-16,Heavy Duty Truck,QLD,Government,128211.0,5,641055
126,2022-05-18,Construction Equipment,VIC,Agriculture,303981.0,1,303981
127,2022-05-19,Bus,VIC,Mining,355888.0,3,1067664
128,2022-05-20,Construction Equipment,SA,Construction,346638.0,1,346638
129,2022-05-21,Bus,NT,Mining,377139.0,3,1131417
130,2022-05-22,Bus,QLD,Construction,238049.0,1,238049
131,2022-05-23,Light Commercial,SA,Construction,319010.0,5,1595050
132,2022-05-24,Bus,VIC,Mining,124542.0,5,622710
133,2022-05-25,Construction Equipment,VIC,Government,100651.0,3,301953
134,2022-05-26,Bus,QLD,Construction,189239.0,1,189239
135,2022-05-27,Light Commercial,WA,Mining,431075.0,3,1293225
136,2022-05-28,Light Commercial,NSW,Construction,316416.0,5,1582080
137,2022-05-30,Construction Equipment,VIC,Logistics,454256.0,1,454256
138,2022-05-31,Medium Duty Truck,NT,Government,368859.0,1,368859
139,2022-06-01,Medium Duty Truck,NT,Agriculture,245378.0,3,736134
140,2022-06-02,Bus,VIC,Construction,240158.0,2,480316
141,2022-06-03,Heavy Duty Truck,WA,Logistics,497592.0,3,1492776
142,2022-06-04,Bus,WA,Agriculture,413494.0,5,2067470
143,2022-06-05,Construction Equipment,SA,Agriculture,423569.0,5,2117845
144,2022-06-06,Construction Equipment,NT,Construction,438264.0,5,2191320
145,2022-06-07,Construction Equipment,SA,Mining,467033.0,5,2335165
146,2022-06-08,Construction Equipment,NT,Construction,231130.0,5,1155650
147,2022-06-10,Construction Equipment,NSW,Logistics,345948.0,2,691896
148,2022-06-11,Light Commercial,NSW,Agriculture,426781.0,1,426781
149,2022-06-12,Medium Duty Truck,QLD,Construction,422338.0,3,1267014
150,2022-06-13,Construction Equipment,SA,Mining,429061.0,3,1287183
151,2022-06-14,Heavy Duty Truck,VIC,Construction,154200.0,5,771000
152,2022-06-15,Heavy Duty Truck,SA,Government,195848.0,3,587544
153,2022-06-16,Heavy Duty Truck,VIC,Mining,196022.0,5,980110
154,2022-06-17,Heavy Duty Truck,WA,Logistics,267691.0,2,535382
155,2022-06-18,Light Commercial,SA,Agriculture,346453.0,2,692906
156,2022-06-19,Heavy Duty Truck,WA,Construction,412202.0,1,412202
157,2022-06-20,Construction Equipment,NSW,Mining,152068.0,2,304136
158,2022-06-22,Bus,NSW,Government,452076.0,2,904152
159,2022-06-23,Heavy Duty Truck,QLD,Mining,251445.0,1,251445
160,2022-06-24,Light Commercial,SA,Government,254226.0,3,762678
161,2022-06-25,Light Commercial,WA,Logistics,227103.0,5,1135515
162,2022-06-26,Heavy Duty Truck,VIC,Agriculture,314605.0,5,1573025
163,2022-06-27,Bus,NSW,Logistics,293047.0,3,879141
164,2022-06-28,Heavy Duty Truck,NSW,Construction,374929.0,1,374929
165,2022-06-29,Light Commercial,VIC,Mining,339768.0,3,1019304
166,2022-06-30,Medium Duty Truck,WA,Government,,2,499482
167,2022-07-01,Construction Equipment,WA,Government,184475.0,1,184475
168,2022-07-03,Light Commercial,SA,Mining,92282.0,1,92282
169,2022-07-04,Heavy Duty Truck,SA,Mining,255696.0,1,255696
170,2022-07-05,Construction Equipment,NT,Construction,269510.0,5,1347550
171,2022-07-06,Heavy Duty Truck,NT,Logistics,310972.0,3,932916
172,2022-07-07,Heavy Duty Truck,QLD,Government,419678.0,1,419678
173,2022-07-08,Medium Duty Truck,NSW,Construction,252777.0,1,252777
174,2022-07-09,Construction Equipment,SA,Logistics,427108.0,1,427108
175,2022-07-10,Construction Equipment,WA,Construction,258509.0,3,775527
176,2022-07-11,Medium Duty Truck,VIC,Government,298944.0,5,1494720
177,2022-07-12,Light Commercial,WA,Mining,209006.0,2,418012
178,2022-07-14,Heavy Duty Truck,NSW,Mining,326440.0,5,1632200
179,2022-07-15,Bus,NT,Logistics,294054.0,1,294054
180,2022-07-16,Heavy Duty Truck,WA,Agriculture,402727.0,5,2013635
181,2022-07-17,Heavy Duty Truck,QLD,Logistics,390536.0,5,1952680
182,2022-07-18,Light Commercial,NSW,Agriculture,97461.0,2,194922
183,2022-07-19,Heavy Duty Truck,NT,Construction,190123.0,3,570369
184,2022-07-20,Medium Duty Truck,VIC,Construction,362660.0,3,1087980
185,2022-07-21,Medium Duty Truck,NT,Government,238586.0,5,1192930
186,2022-07-22,Construction Equipment,QLD,Agriculture,473395.0,5,2366975
187,2022-07-23,Bus,NSW,Government,321496.0,3,964488
188,2022-07-24,Heavy Duty Truck,VIC,Mining,257860.0,3,773580
189,2022-07-26,Heavy Duty Truck,QLD,Agriculture,296821.0,2,593642
190,2022-07-27,Light Commercial,NT,Logistics,282121.0,1,282121
191,2022-07-28,Medium Duty Truck,QLD,Mining,414637.0,5,2073185
192,2022-07-29,Bus,NSW,Mining,126027.0,3,378081
193,2022-07-30,Construction Equipment,SA,Logistics,445691.0,5,2228455
194,2022-07-31,Medium Duty Truck,QLD,Mining,263921.0,5,1319605
195,2022-08-01,Construction Equipment,QLD,Agriculture,452271.0,3,1356813
196,2022-08-02,Light Commercial,NT,Government,238930.0,2,477860
197,2022-08-03,Light Commercial,NT,Mining,305234.0,5,1526170
198,2022-08-04,Heavy Duty Truck,VIC,Agriculture,169003.0,2,338006
199,2022-08-06,Bus,NT,Construction,273467.0,3,820401
200,2022-08-07,Construction Equipment,WA,Agriculture,129758.0,1,129758
201,2022-08-08,Medium Duty Truck,NSW,Government,406456.0,1,406456
202,2022-08-09,Light Commercial,NSW,Agriculture,420814.0,5,2104070
203,2022-08-10,Heavy Duty Truck,SA,Logistics,172279.0,3,516837
204,2022-08-11,Heavy Duty Truck,SA,Government,105434.0,2,210868
205,2022-08-12,Construction Equipment,NSW,Construction,285119.0,5,1425595
206,2022-08-13,Light Commercial,SA,Logistics,427913.0,3,1283739
207,2022-08-14,Bus,VIC,Agriculture,,3,1007262
208,2022-08-15,Light Commercial,NT,Government,418821.0,2,837642
209,2022-08-16,Construction Equipment,NSW,Construction,173555.0,5,867775
210,2022-08-18,Construction Equipment,SA,Logistics,218379.0,3,655137
211,2022-08-19,Light Commercial,NSW,Construction,306992.0,3,920976
212,2022-08-20,Construction Equipment,WA,Agriculture,329511.0,3,988533
213,2022-08-21,Light Commercial,QLD,Construction,266806.0,2,533612
214,2022-08-22,Medium Duty Truck,NT,Mining,453809.0,5,2269045
215,2022-08-23,Light Commercial,NSW,Logistics,158803.0,5,794015
216,2022-08-24,Light Commercial,QLD,Construction,443847.0,5,2219235
217,2022-08-25,Construction Equipment,SA,Agriculture,373456.0,5,1867280
218,2022-08-26,Construction Equipment,QLD,Agriculture,314448.0,1,314448
219,2022-08-27,Heavy Duty Truck,NT,Construction,265251.0,1,265251
220,2022-08-29,Heavy Duty Truck,NSW,Agriculture,292514.0,5,1462570
221,2022-08-30,Medium Duty Truck,WA,Government,335404.0,2,670808
222,2022-08-31,Heavy Duty Truck,SA,Government,207961.0,1,207961
223,2022-09-01,Light Commercial,NSW,Government,392523.0,3,1177569
224,2022-09-02,Construction Equipment,NT,Mining,107297.0,1,107297
225,2022-09-03,Heavy Duty Truck,SA,Construction,354155.0,3,1062465
226,2022-09-04,Heavy Duty Truck,VIC,Mining,210234.0,5,1051170
227,2022-09-05,Medium Duty Truck,QLD,Agriculture,134014.0,1,134014
228,2022-09-06,Medium Duty Truck,NT,Mining,333166.0,2,666332
229,2022-09-07,Light Commercial,VIC,Agriculture,494954.0,1,494954
230,2022-09-09,Construction Equipment,NSW,Agriculture,446477.0,1,446477
231,2022-09-10,Medium Duty Truck,WA,Logistics,268570.0,1,268570
232,2022-09-11,Heavy Duty Truck,SA,Government,348864.0,5,1744320
233,2022-09-12,Construction Equipment,QLD,Agriculture,363264.0,2,726528
234,2022-09-13,Construction Equipment,SA,Logistics,491983.0,1,491983
235,2022-09-14,Heavy Duty Truck,NSW,Government,,2,749992
236,2022-09-15,Medium Duty Truck,SA,Agriculture,431383.0,5,2156915
237,2022-09-16,Heavy Duty Truck,QLD,Agriculture,484145.0,3,1452435
238,2022-09-17,Construction Equipment,NSW,Mining,298559.0,1,298559
239,2022-09-18,Bus,SA,Mining,181575.0,2,363150
240,2022-09-19,Bus,WA,Government,185040.0,2,370080
241,2022-09-21,Light Commercial,NT,Agriculture,238510.0,5,1192550
242,2022-09-22,Heavy Duty Truck,NSW,Construction,269587.0,1,269587
243,2022-09-23,Heavy Duty Truck,NT,Mining,95744.0,3,287232
244,2022-09-24,Light Commercial,NSW,Government,304892.0,2,609784
245,2022-09-25,Light Commercial,WA,Agriculture,490285.0,1,490285
246,2022-09-26,Light Commercial,NT,Agriculture,394503.0,3,1183509
247,2022-09-27,Construction Equipment,VIC,Construction,240871.0,2,481742
248,2022-09-28,Heavy Duty Truck,QLD,Government,450890.0,2,901780
249,2022-09-29,Construction Equipment,VIC,Agriculture,314834.0,3,944502
250,2022-09-30,Light Commercial,SA,Mining,210906.0,3,632718
251,2022-10-02,Heavy Duty Truck,WA,Construction,291260.0,5,1456300
252,2022-10-03,Construction Equipment,VIC,Government,310931.0,1,310931
253,2022-10-04,Construction Equipment,NSW,,343593.0,1,343593
254,2022-10-05,Light Commercial,SA,Mining,328746.0,5,1643730
255,2022-10-06,Heavy Duty Truck,SA,Government,97597.0,2,195194
256,2022-10-07,Light Commercial,VIC,Construction,399237.0,3,1197711
257,2022-10-08,Heavy Duty Truck,VIC,Logistics,293199.0,3,879597
258,2022-10-09,Bus,WA,Mining,466794.0,3,1400382
259,2022-10-10,Medium Duty Truck,QLD,Mining,298434.0,2,596868
260,2022-10-11,Medium Duty Truck,VIC,Mining,247489.0,3,742467
261,2022-10-12,Medium Duty Truck,VIC,Logistics,473100.0,3,1419300
262,2022-10-14,Light Commercial,NT,Logistics,205598.0,5,1027990
263,2022-10-15,Bus,NSW,Agriculture,340100.0,2,680200
264,2022-10-16,Heavy Duty Truck,NT,Construction,348589.0,1,348589
265,2022-10-17,Construction Equipment,NT,Agriculture,274233.0,5,1371165
266,2022-10-18,Heavy Duty Truck,SA,Construction,342388.0,5,1711940
267,2022-10-19,Construction Equipment,QLD,Logistics,223241.0,1,223241
268,2022-10-20,Heavy Duty Truck,NSW,Logistics,305164.0,5,1525820
269,2022-10-21,Bus,WA,Agriculture,243124.0,2,486248
270,2022-10-22,Construction Equipment,WA,Government,294923.0,3,884769
271,2022-10-23,Light Commercial,VIC,Agriculture,98036.0,2,196072
272,2022-10-25,Heavy Duty Truck,VIC,Construction,121778.0,1,121778
273,2022-10-26,Heavy Duty Truck,WA,Agriculture,244245.0,1,244245
274,2022-10-27,Construction Equipment,VIC,Mining,251475.0,5,1257375
275,2022-10-28,Light Commercial,QLD,Construction,292747.0,2,585494
276,2022-10-29,Light Commercial,NT,,489560.0,2,979120
277,2022-10-30,Bus,VIC,Government,108800.0,1,108800
278,2022-10-31,Light Commercial,SA,Logistics,377516.0,2,755032
279,2022-11-01,Light Commercial,VIC,Construction,413660.0,1,413660
280,2022-11-02,Light Commercial,NSW,Logistics,372682.0,2,745364
281,2022-11-03,Medium Duty Truck,QLD,Agriculture,416062.0,2,832124
282,2022-11-05,Bus,NSW,Mining,498189.0,2,996378
283,2022-11-06,Heavy Duty Truck,NSW,Government,423299.0,1,423299
284,2022-11-07,Construction Equipment,SA,Logistics,321312.0,5,1606560
285,2022-11-08,Heavy Duty Truck,QLD,Construction,149500.0,2,299000
286,2022-11-09,Bus,QLD,Logistics,257647.0,1,257647
287,2022-11-10,Construction Equipment,QLD,Construction,326527.0,1,326527
288,2022-11-11,Bus,QLD,Logistics,200659.0,2,401318
289,2022-11-12,Light Commercial,QLD,Construction,117716.0,2,235432
290,2022-11-13,Construction Equipment,SA,Agriculture,486452.0,5,2432260
291,2022-11-14,Light Commercial,VIC,Construction,499064.0,1,499064
292,2022-11-15,Heavy Duty Truck,NSW,Construction,92352.0,1,92352
293,2022-11-17,Heavy Duty Truck,QLD,Mining,223004.0,3,669012
294,2022-11-18,Construction Equipment,VIC,Construction,428593.0,1,428593
295,2022-11-19,Construction Equipment,VIC,Mining,98556.0,5,492780
296,2022-11-20,Bus,NSW,Government,351973.0,3,1055919
297,2022-11-21,Bus,SA,Mining,438980.0,3,1316940
298,2022-11-22,Light Commercial,WA,Agriculture,226570.0,3,679710
299,2022-11-23,Construction Equipment,WA,,297190.0,2,594380
300,2022-11-24,Heavy Duty Truck,VIC,Government,140098.0,2,280196
301,2022-11-25,Bus,NT,Agriculture,464313.0,1,464313
302,2022-11-26,Bus,NT,Logistics,230641.0,3,691923
303,2022-11-28,Heavy Duty Truck,NSW,Logistics,337199.0,5,1685995
304,2022-11-29,Bus,WA,Mining,,2,432120
305,2022-11-30,Light Commercial,VIC,Mining,277954.0,5,1389770
306,2022-12-01,Construction Equipment,SA,Government,291465.0,5,1457325
307,2022-12-02,Heavy Duty Truck,WA,Government,220544.0,2,441088
308,2022-12-03,Construction Equipment,VIC,Construction,90340.0,2,180680
309,2022-12-04,Bus,VIC,Government,265021.0,2,530042
310,2022-12-05,Bus,QLD,Construction,172302.0,2,344604
311,2022-12-06,Heavy Duty Truck,SA,Agriculture,312740.0,3,938220
312,2022-12-07,Light Commercial,QLD,Mining,90138.0,3,270414
313,2022-12-08,Medium Duty Truck,NSW,Agriculture,483574.0,3,1450722
314,2022-12-10,Heavy Duty Truck,QLD,Government,209619.0,3,628857
315,2022-12-11,Medium Duty Truck,QLD,Agriculture,437520.0,1,437520
316,2022-12-12,Medium Duty Truck,WA,Agriculture,189931.0,3,569793
317,2022-12-13,Light Commercial,NT,Agriculture,246951.0,2,493902
318,2022-12-14,Medium Duty Truck,VIC,Government,433676.0,5,2168380
319,2022-12-15,Medium Duty Truck,SA,Agriculture,407922.0,3,1223766
320,2022-12-16,Light Commercial,QLD,Construction,127772.0,1,127772
321,2022-12-17,Medium Duty Truck,SA,Government,148478.0,2,296956
322,2022-12-18,Medium Duty Truck,NT,Agriculture,116762.0,5,583810
323,2022-12-19,Medium Duty Truck,NT,Government,234355.0,5,1171775
324,2022-12-21,Heavy Duty Truck,QLD,Logistics,284994.0,3,854982
325,2022-12-22,Heavy Duty Truck,NSW,Construction,260492.0,5,1302460
326,2022-12-23,Heavy Duty Truck,QLD,Agriculture,407712.0,3,1223136
327,2022-12-24,Light Commercial,WA,Logistics,437234.0,3,1311702
328,2022-12-25,Bus,VIC,Logistics,372363.0,2,744726
329,2022-12-26,Medium Duty Truck,NSW,Government,409313.0,2,818626
330,2022-12-27,Medium Duty Truck,QLD,Logistics,164965.0,1,164965
331,2022-12-28,Light Commercial,SA,Construction,267912.0,2,535824
332,2022-12-29,Medium Duty Truck,NSW,Construction,265767.0,2,531534
333,2022-12-30,Heavy Duty Truck,NSW,Mining,326281.0,3,978843
334,2023-01-01,Bus,QLD,Construction,174754.0,2,349508
335,2023-01-02,Construction Equipment,NSW,Logistics,167988.0,3,503964
336,2023-01-03,Medium Duty Truck,SA,Construction,240023.0,3,720069
337,2023-01-04,Heavy Duty Truck,NT,Government,222379.0,2,444758
338,2023-01-05,Construction Equipment,NSW,Mining,170388.0,1,170388
339,2023-01-06,Bus,NT,Logistics,442912.0,1,442912
340,2023-01-07,Construction Equipment,SA,Mining,387572.0,5,1937860
341,2023-01-08,Heavy Duty Truck,QLD,Logistics,329779.0,5,1648895
342,2023-01-09,Construction Equipment,VIC,Government,444165.0,2,888330
343,2023-01-10,Light Commercial,NSW,Mining,470562.0,1,470562
344,2023-01-11,Construction Equipment,VIC,Agriculture,296846.0,3,890538
345,2023-01-13,Medium Duty Truck,SA,Logistics,260047.0,5,1300235
346,2023-01-14,Medium Duty Truck,NSW,Agriculture,222212.0,3,666636
347,2023-01-15,Light Commercial,NT,Mining,378565.0,5,1892825
348,2023-01-16,Heavy Duty Truck,WA,Agriculture,353852.0,2,707704
349,2023-01-17,Medium Duty Truck,VIC,Agriculture,486846.0,1,486846
350,2023-01-18,Bus,NSW,Mining,166021.0,5,830105
351,2023-01-19,Medium Duty Truck,VIC,,249380.0,1,249380
352,2023-01-20,Medium Duty Truck,NSW,Agriculture,134789.0,3,404367
353,2023-01-21,Heavy Duty Truck,QLD,Agriculture,116086.0,2,232172
354,2023-01-22,Construction Equipment,NT,Government,369003.0,1,369003
355,2023-01-24,Medium Duty Truck,VIC,Agriculture,,2,195368
356,2023-01-25,Light Commercial,WA,Agriculture,,1,181088
357,2023-01-26,Construction Equipment,WA,Agriculture,484423.0,3,1453269
358,2023-01-27,Bus,SA,Construction,136099.0,3,408297
359,2023-01-28,Heavy Duty Truck,NSW,Government,156093.0,2,312186
360,2023-01-29,Bus,VIC,Agriculture,250761.0,3,752283
361,2023-01-30,Construction Equipment,SA,Government,400795.0,5,2003975
362,2023-01-31,Construction Equipment,VIC,Logistics,103893.0,1,103893
363,2023-02-01,Construction Equipment,NSW,Logistics,156418.0,3,469254
364,2023-02-02,Bus,WA,Agriculture,215074.0,5,1075370
365,2023-02-03,Construction Equipment,QLD,,455209.0,2,910418
366,2023-02-05,Bus,WA,Government,220351.0,5,1101755
367,2023-02-06,Construction Equipment,SA,Government,281083.0,2,562166
368,2023-02-07,Light Commercial,NT,Construction,128635.0,2,257270
369,2023-02-08,Construction Equipment,QLD,Logistics,185071.0,1,185071
370,2023-02-09,Bus,SA,Government,430662.0,1,430662
371,2023-02-10,Medium Duty Truck,NSW,Government,458377.0,5,2291885
372,2023-02-11,Construction Equipment,QLD,Construction,455795.0,1,455795
373,2023-02-12,Medium Duty Truck,SA,Construction,162805.0,1,162805
374,2023-02-13,Light Commercial,NSW,Government,474957.0,1,474957
375,2023-02-14,Heavy Duty Truck,WA,Mining,431207.0,5,2156035
376,2023-02-16,Light Commercial,NT,Government,354598.0,3,1063794
377,2023-02-17,Construction Equipment,NSW,Government,373022.0,1,373022
378,2023-02-18,Medium Duty Truck,VIC,Construction,272170.0,1,272170
379,2023-02-19,Medium Duty Truck,NSW,Construction,283226.0,5,1416130
380,2023-02-20,Bus,NSW,Government,234063.0,3,702189
381,2023-02-21,Medium Duty Truck,NT,Government,158344.0,1,158344
382,2023-02-22,Bus,VIC,Government,457090.0,2,914180
383,2023-02-23,Heavy Duty Truck,SA,Construction,126593.0,5,632965
384,2023-02-24,Construction Equipment,SA,Government,126304.0,1,126304
385,2023-02-25,Bus,NSW,Government,276292.0,1,276292
386,2023-02-26,Heavy Duty Truck,VIC,Agriculture,203613.0,2,407226
387,2023-02-28,Medium Duty Truck,VIC,Mining,290410.0,2,580820
388,2023-03-01,Medium Duty Truck,NT,Logistics,108354.0,5,541770
389,2023-03-02,Heavy Duty Truck,WA,Mining,374334.0,5,1871670
390,2023-03-03,Medium Duty Truck,SA,Agriculture,96142.0,2,192284
391,2023-03-04,Heavy Duty Truck,NT,Logistics,273043.0,5,1365215
392,2023-03-05,Bus,QLD,Government,394006.0,2,788012
393,2023-03-06,Bus,SA,Agriculture,274482.0,1,274482
394,2023-03-07,Heavy Duty Truck,NT,Government,240575.0,2,481150
395,2023-03-08,Bus,SA,Construction,215438.0,2,430876
